	variable	d	CuedHalf	Alignment	Congruency	participant
57	Congruent_Misligned_Top	1.3442583434878141	Top	MisAligned	Congruent	26
58	Congruent_Misligned_Top	2.8015852181129683	Top	MisAligned	Congruent	27
59	Congruent_Misligned_Top	1.4589898037815208	Top	MisAligned	Congruent	28
60	Congruent_Misligned_Top	1.3883514812433595	Top	MisAligned	Congruent	29
61	Congruent_Misligned_Top	3.1759920186784267	Top	MisAligned	Congruent	30
62	Congruent_Misligned_Top	2.79520300732748	Top	MisAligned	Congruent	31
63	Congruent_Misligned_Top	1.7109231396898714	Top	MisAligned	Congruent	32
64	Incongruent_Aligned_Top	0.23101451365242864	Top	Aligned	Incongruent	1
65	Incongruent_Aligned_Top	0.131973363271768	Top	Aligned	Incongruent	2
66	Incongruent_Aligned_Top	0.4424655294085921	Top	Aligned	Incongruent	3
67	Incongruent_Aligned_Top	0.19297801710930113	Top	Aligned	Incongruent	4
68	Incongruent_Aligned_Top	2.114021221134538	Top	Aligned	Incongruent	5
69	Incongruent_Aligned_Top	2.5631031310892007	Top	Aligned	Incongruent	6
70	Incongruent_Aligned_Top	0.45376219016987956	Top	Aligned	Incongruent	7
71	Incongruent_Aligned_Top	0.7454708648006875	Top	Aligned	Incongruent	8
72	Incongruent_Aligned_Top	-0.06844172376231183	Top	Aligned	Incongruent	9
73	Incongruent_Aligned_Top	-1.1879363942092798	Top	Aligned	Incongruent	10
74	Incongruent_Aligned_Top	0.5744388926803601	Top	Aligned	Incongruent	11
75	Incongruent_Aligned_Top	0.6159499271091049	Top	Aligned	Incongruent	12
76	Incongruent_Aligned_Top	0.19297801710930113	Top	Aligned	Incongruent	13
77	Incongruent_Aligned_Top	0.6604669039856923	Top	Aligned	Incongruent	14
78	Incongruent_Aligned_Top	2.560042091569322	Top	Aligned	Incongruent	15
79	Incongruent_Aligned_Top	-0.06295456891186031	Top	Aligned	Incongruent	16
80	Incongruent_Aligned_Top	2.4002686533119415	Top	Aligned	Incongruent	17
81	Incongruent_Aligned_Top	0.9737266115505759	Top	Aligned	Incongruent	18
82	Incongruent_Aligned_Top	0.7454708648006876	Top	Aligned	Incongruent	19
83	Incongruent_Aligned_Top	0.9737266115505759	Top	Aligned	Incongruent	20
84	Incongruent_Aligned_Top	0.7159598867178402	Top	Aligned	Incongruent	21
85	Incongruent_Aligned_Top	1.276010727231082	Top	Aligned	Incongruent	22
86	Incongruent_Aligned_Top	0.9278368533318815	Top	Aligned	Incongruent	23
87	Incongruent_Aligned_Top	-1.8248391305720895	Top	Aligned	Incongruent	24
88	Incongruent_Aligned_Top	-1.2722498762385601	Top	Aligned	Incongruent	25
89	Incongruent_Aligned_Top	0.25182520421600624	Top	Aligned	Incongruent	26
90	Incongruent_Aligned_Top	1.1221606387505192	Top	Aligned	Incongruent	27
91	Incongruent_Aligned_Top	1.0246880335209338	Top	Aligned	Incongruent	28
92	Incongruent_Aligned_Top	-0.07063832253816132	Top	Aligned	Incongruent	29
93	Incongruent_Aligned_Top	1.468988744340383	Top	Aligned	Incongruent	30
94	Incongruent_Aligned_Top	1.209177216530349	Top	Aligned	Incongruent	31
95	Incongruent_Aligned_Top	0.7039598303719429	Top	Aligned	Incongruent	32
96	Incongruent_Misligned_Top	0.408641699769686	Top	MisAligned	Incongruent	1
97	Incongruent_Misligned_Top	0.12641164832957852	Top	MisAligned	Incongruent	2
98	Incongruent_Misligned_Top	1.5608339022018305	Top	MisAligned	Incongruent	3
99	Incongruent_Misligned_Top	0.9781627028779203	Top	MisAligned	Incongruent	4
100	Incongruent_Misligned_Top	1.6747498930840485	Top	MisAligned	Incongruent	5
101	Incongruent_Misligned_Top	2.996397374033844	Top	MisAligned	Incongruent	6
102	Incongruent_Misligned_Top	1.8780546230667041	Top	MisAligned	Incongruent	7
103	Incongruent_Misligned_Top	2.4319009459206082	Top	MisAligned	Incongruent	8
104	Incongruent_Misligned_Top	0.06529226082857542	Top	MisAligned	Incongruent	9
105	Incongruent_Misligned_Top	-1.0740543903248445	Top	MisAligned	Incongruent	10
106	Incongruent_Misligned_Top	1.1282519403659612	Top	MisAligned	Incongruent	11
107	Incongruent_Misligned_Top	1.6090790412695617	Top	MisAligned	Incongruent	12
108	Incongruent_Misligned_Top	1.0740543903248445	Top	MisAligned	Incongruent	13
109	Incongruent_Misligned_Top	1.3883514812433595	Top	MisAligned	Incongruent	14
110	Incongruent_Misligned_Top	2.430521153877739	Top	MisAligned	Incongruent	15
111	Incongruent_Misligned_Top	1.1861843678026567	Top	MisAligned	Incongruent	16
