	variable	d	CuedHalf	Alignment	Congruency	participant	ProbabilityCue
152	Congruent_Aligned_Bottom	0.9107720426387157	Bottom	Aligned	Congruent	25	25cueTarget
153	Congruent_Aligned_Bottom	1.5348986686804	Bottom	Aligned	Congruent	26	25cueTarget
154	Congruent_Aligned_Bottom	2.6267231940125146	Bottom	Aligned	Congruent	27	25cueTarget
155	Congruent_Aligned_Bottom	1.4217538559013576	Bottom	Aligned	Congruent	28	25cueTarget
156	Congruent_Aligned_Bottom	3.8862563545564193	Bottom	Aligned	Congruent	29	25cueTarget
157	Congruent_Aligned_Bottom	0.2533471031357997	Bottom	Aligned	Congruent	30	25cueTarget
158	Congruent_Aligned_Bottom	2.169254139659513	Bottom	Aligned	Congruent	31	25cueTarget
159	Congruent_Aligned_Bottom	2.7658032403129873	Bottom	Aligned	Congruent	32	25cueTarget
160	Congruent_Misligned_Bottom	0.6084202374576824	Bottom	MisAligned	Congruent	1	25cueTarget
161	Congruent_Misligned_Bottom	0.5066942062715994	Bottom	MisAligned	Congruent	2	25cueTarget
162	Congruent_Misligned_Bottom	1.516110983768996	Bottom	MisAligned	Congruent	3	25cueTarget
163	Congruent_Misligned_Bottom	0.7571510528365595	Bottom	MisAligned	Congruent	4	25cueTarget
164	Congruent_Misligned_Bottom	1.8780546230667041	Bottom	MisAligned	Congruent	5	25cueTarget
165	Congruent_Misligned_Bottom	1.805952078252641	Bottom	MisAligned	Congruent	6	25cueTarget
166	Congruent_Misligned_Bottom	1.7109231396898714	Bottom	MisAligned	Congruent	7	25cueTarget
167	Congruent_Misligned_Bottom	1.516110983768996	Bottom	MisAligned	Congruent	8	25cueTarget
168	Congruent_Misligned_Bottom	0.131973363271768	Bottom	MisAligned	Congruent	9	25cueTarget
169	Congruent_Misligned_Bottom	0.8001510970511558	Bottom	MisAligned	Congruent	10	25cueTarget
170	Congruent_Misligned_Bottom	2.9158924778010284	Bottom	MisAligned	Congruent	11	25cueTarget
171	Congruent_Misligned_Bottom	2.9264051924960723	Bottom	MisAligned	Congruent	12	25cueTarget
172	Congruent_Misligned_Bottom	1.805952078252641	Bottom	MisAligned	Congruent	13	25cueTarget
173	Congruent_Misligned_Bottom	0.6070618153485187	Bottom	MisAligned	Congruent	14	25cueTarget
174	Congruent_Misligned_Bottom	2.319343377147554	Bottom	MisAligned	Congruent	15	25cueTarget
175	Congruent_Misligned_Bottom	1.8982007300872719	Bottom	MisAligned	Congruent	16	25cueTarget
176	Congruent_Misligned_Bottom	1.6668720319521682	Bottom	MisAligned	Congruent	17	25cueTarget
177	Congruent_Misligned_Bottom	2.9158924778010284	Bottom	MisAligned	Congruent	18	25cueTarget
178	Congruent_Misligned_Bottom	1.805952078252641	Bottom	MisAligned	Congruent	19	25cueTarget
179	Congruent_Misligned_Bottom	0.9278368533318815	Bottom	MisAligned	Congruent	20	25cueTarget
180	Congruent_Misligned_Bottom	0.7777476158438403	Bottom	MisAligned	Congruent	21	25cueTarget
181	Congruent_Misligned_Bottom	1.1558902186895261	Bottom	MisAligned	Congruent	22	25cueTarget
182	Congruent_Misligned_Bottom	2.9264051924960723	Bottom	MisAligned	Congruent	23	25cueTarget
183	Congruent_Misligned_Bottom	-0.38532046640756773	Bottom	MisAligned	Congruent	24	25cueTarget
184	Congruent_Misligned_Bottom	1.1558902186895261	Bottom	MisAligned	Congruent	25	25cueTarget
185	Congruent_Misligned_Bottom	1.2815515655446004	Bottom	MisAligned	Congruent	26	25cueTarget
186	Congruent_Misligned_Bottom	1.6832424671458286	Bottom	MisAligned	Congruent	27	25cueTarget
187	Congruent_Misligned_Bottom	1.519192280096398	Bottom	MisAligned	Congruent	28	25cueTarget
188	Congruent_Misligned_Bottom	2.6812870164452622	Bottom	MisAligned	Congruent	29	25cueTarget
189	Congruent_Misligned_Bottom	1.094968336708714	Bottom	MisAligned	Congruent	30	25cueTarget
190	Congruent_Misligned_Bottom	2.367064074460021	Bottom	MisAligned	Congruent	31	25cueTarget
191	Congruent_Misligned_Bottom	1.5608339022018305	Bottom	MisAligned	Congruent	32	25cueTarget
192	Incongruent_Aligned_Bottom	0.6744897501960817	Bottom	Aligned	Incongruent	1	25cueTarget
193	Incongruent_Aligned_Bottom	-0.6386675695433675	Bottom	Aligned	Incongruent	2	25cueTarget
194	Incongruent_Aligned_Bottom	0.9278368533318815	Bottom	Aligned	Incongruent	3	25cueTarget
195	Incongruent_Aligned_Bottom	0.19481215592087564	Bottom	Aligned	Incongruent	4	25cueTarget
196	Incongruent_Aligned_Bottom	-0.15008923748804104	Bottom	Aligned	Incongruent	5	25cueTarget
197	Incongruent_Aligned_Bottom	0.13908004630047294	Bottom	Aligned	Incongruent	6	25cueTarget
198	Incongruent_Aligned_Bottom	-0.12768575628072557	Bottom	Aligned	Incongruent	7	25cueTarget
199	Incongruent_Aligned_Bottom	-1.1988902629041225	Bottom	Aligned	Incongruent	8	25cueTarget
200	Incongruent_Aligned_Bottom	0.289169283788514	Bottom	Aligned	Incongruent	9	25cueTarget
201	Incongruent_Aligned_Bottom	1.4072129123996746	Bottom	Aligned	Incongruent	10	25cueTarget
202	Incongruent_Aligned_Bottom	0.5120328767857492	Bottom	Aligned	Incongruent	11	25cueTarget
203	Incongruent_Aligned_Bottom	-2.1231727991175147	Bottom	Aligned	Incongruent	12	25cueTarget
204	Incongruent_Aligned_Bottom	0.2513226937101483	Bottom	Aligned	Incongruent	13	25cueTarget
205	Incongruent_Aligned_Bottom	0.45630076716534657	Bottom	Aligned	Incongruent	14	25cueTarget
206	Incongruent_Aligned_Bottom	1.956041315740682	Bottom	Aligned	Incongruent	15	25cueTarget
207	Incongruent_Aligned_Bottom	1.1988902629041225	Bottom	Aligned	Incongruent	16	25cueTarget
208	Incongruent_Aligned_Bottom	-1.4072129123996744	Bottom	Aligned	Incongruent	17	25cueTarget
209	Incongruent_Aligned_Bottom	-0.421142647060282	Bottom	Aligned	Incongruent	18	25cueTarget
210	Incongruent_Aligned_Bottom	1.3489795003921634	Bottom	Aligned	Incongruent	19	25cueTarget
