	Response Time (ms)	Cue Prob	Alignment	Congruency	CuedHalf	Participant
216	854.7020774366783	25 cue	Aligned	Incongruent	Bottom	31
217	973.5323565340984	25 cue	MisAligned	Incongruent	Bottom	1
218	1865.9973456931766	25 cue	MisAligned	Incongruent	Bottom	2
219	624.7977299450819	25 cue	MisAligned	Incongruent	Bottom	3
220	1010.0870788300256	25 cue	MisAligned	Incongruent	Bottom	4
221	599.156169908096	25 cue	MisAligned	Incongruent	Bottom	5
222	690.3872894622656	25 cue	MisAligned	Incongruent	Bottom	6
223	1080.755637822828	25 cue	MisAligned	Incongruent	Bottom	7
224	762.4062622014795	25 cue	MisAligned	Incongruent	Bottom	8
225	1503.1284984508516	25 cue	MisAligned	Incongruent	Bottom	9
226	524.8610353661934	25 cue	MisAligned	Incongruent	Bottom	10
227	983.8958474210813	25 cue	MisAligned	Incongruent	Bottom	11
228	1517.7336057786306	25 cue	MisAligned	Incongruent	Bottom	12
229	718.2519722163903	25 cue	MisAligned	Incongruent	Bottom	13
230	695.9787383464572	25 cue	MisAligned	Incongruent	Bottom	14
231	814.8351729428564	25 cue	MisAligned	Incongruent	Bottom	15
232	771.6574072470318	25 cue	MisAligned	Incongruent	Bottom	16
233	1219.3738840097164	25 cue	MisAligned	Incongruent	Bottom	17
234	575.1155277310837	25 cue	MisAligned	Incongruent	Bottom	18
235	736.9239435756754	25 cue	MisAligned	Incongruent	Bottom	19
236	444.68568585051054	25 cue	MisAligned	Incongruent	Bottom	20
237	1205.7948122798864	25 cue	MisAligned	Incongruent	Bottom	21
238	843.359482747599	25 cue	MisAligned	Incongruent	Bottom	22
239	542.083177017048	25 cue	MisAligned	Incongruent	Bottom	23
240	1571.107696031686	25 cue	MisAligned	Incongruent	Bottom	24
241	1348.946197424084	25 cue	MisAligned	Incongruent	Bottom	25
242	494.02958278854686	25 cue	MisAligned	Incongruent	Bottom	26
243	519.1455479944125	25 cue	MisAligned	Incongruent	Bottom	27
244	766.0731781007988	25 cue	MisAligned	Incongruent	Bottom	28
245	1142.924540775961	25 cue	MisAligned	Incongruent	Bottom	29
246	587.7936869202291	25 cue	MisAligned	Incongruent	Bottom	30
247	811.6404995290113	25 cue	MisAligned	Incongruent	Bottom	31
248	562.4529784007622	75 cue	Aligned	Congruent	Top	1
249	929.0244271533002	75 cue	Aligned	Congruent	Top	2
250	427.98624640216497	75 cue	Aligned	Congruent	Top	3
251	516.0982548820277	75 cue	Aligned	Congruent	Top	4
252	398.84329667657875	75 cue	Aligned	Congruent	Top	5
253	404.877108448416	75 cue	Aligned	Congruent	Top	6
254	820.1809694644453	75 cue	Aligned	Congruent	Top	7
255	520.0626635550896	75 cue	Aligned	Congruent	Top	8
256	1016.9087731383684	75 cue	Aligned	Congruent	Top	9
257	439.38995897824327	75 cue	Aligned	Congruent	Top	10
258	615.7536692153718	75 cue	Aligned	Congruent	Top	11
259	803.7853228408243	75 cue	Aligned	Congruent	Top	12
260	558.3968708469044	75 cue	Aligned	Congruent	Top	13
261	434.4766962593846	75 cue	Aligned	Congruent	Top	14
262	486.88624663486945	75 cue	Aligned	Congruent	Top	15
263	686.5025161341276	75 cue	Aligned	Congruent	Top	16
264	1031.720200089504	75 cue	Aligned	Congruent	Top	17
265	437.2757201208434	75 cue	Aligned	Congruent	Top	18
266	508.34932890429627	75 cue	Aligned	Congruent	Top	19
267	400.3498222023903	75 cue	Aligned	Congruent	Top	20
268	878.8910461454064	75 cue	Aligned	Congruent	Top	21
269	604.2563098352738	75 cue	Aligned	Congruent	Top	22
270	549.7868176487207	75 cue	Aligned	Congruent	Top	23
271	1271.2916054633051	75 cue	Aligned	Congruent	Top	24
272	779.9863255231128	75 cue	Aligned	Congruent	Top	25
273	421.03298125577345	75 cue	Aligned	Congruent	Top	26
274	437.86598455515644	75 cue	Aligned	Congruent	Top	27
275	462.15553380497687	75 cue	Aligned	Congruent	Top	28
276	889.9668686202552	75 cue	Aligned	Congruent	Top	29
277	445.1993774363445	75 cue	Aligned	Congruent	Top	30
278	691.4615772468029	75 cue	Aligned	Congruent	Top	31
279	605.3372633965909	75 cue	MisAligned	Congruent	Top	1
280	1213.658335537184	75 cue	MisAligned	Congruent	Top	2
281	482.6974706634135	75 cue	MisAligned	Congruent	Top	3
282	554.9300023924573	75 cue	MisAligned	Congruent	Top	4
283	408.6971695553897	75 cue	MisAligned	Congruent	Top	5
284	686.2973397707949	75 cue	MisAligned	Congruent	Top	6
285	817.4388275623372	75 cue	MisAligned	Congruent	Top	7
286	535.1363104447955	75 cue	MisAligned	Congruent	Top	8
287	1065.9781116404206	75 cue	MisAligned	Congruent	Top	9
288	450.59976151328215	75 cue	MisAligned	Congruent	Top	10
289	627.7591051152697	75 cue	MisAligned	Congruent	Top	11
290	809.3394810709622	75 cue	MisAligned	Congruent	Top	12
291	569.7999067407596	75 cue	MisAligned	Congruent	Top	13
292	418.1405328700256	75 cue	MisAligned	Congruent	Top	14
293	511.9982804479454	75 cue	MisAligned	Congruent	Top	15
294	603.3868097025764	75 cue	MisAligned	Congruent	Top	16
295	1157.3741178234036	75 cue	MisAligned	Congruent	Top	17
296	447.8664233594	75 cue	MisAligned	Congruent	Top	18
297	509.6646483814989	75 cue	MisAligned	Congruent	Top	19
298	430.61837880214784	75 cue	MisAligned	Congruent	Top	20
299	904.1643882458586	75 cue	MisAligned	Congruent	Top	21
300	625.8201627128585	75 cue	MisAligned	Congruent	Top	22
301	541.8849971848634	75 cue	MisAligned	Congruent	Top	23
302	1101.290919515054	75 cue	MisAligned	Congruent	Top	24
303	775.6399646300592	75 cue	MisAligned	Congruent	Top	25
304	484.17374367868024	75 cue	MisAligned	Congruent	Top	26
305	428.21614486216515	75 cue	MisAligned	Congruent	Top	27
306	530.82311862076	75 cue	MisAligned	Congruent	Top	28
307	772.5875315379228	75 cue	MisAligned	Congruent	Top	29
308	493.0451966455563	75 cue	MisAligned	Congruent	Top	30
309	647.1467355935318	75 cue	MisAligned	Congruent	Top	31
