Participant	reactionTime	CuedHalf	Alignment	participant	Probability
31	0.45472991983703476	Top	Aligned	31	75cueTarget
32	0.719068440458467	Top	Aligned	32	75cueTarget
1	0.6035039880818138	Top	MisAligned	1	75cueTarget
2	1.5931235406212234	Top	MisAligned	2	75cueTarget
3	0.6864534973264521	Top	MisAligned	3	75cueTarget
4	0.4957235602557471	Top	MisAligned	4	75cueTarget
5	0.5266718120767867	Top	MisAligned	5	75cueTarget
6	0.39298029209347524	Top	MisAligned	6	75cueTarget
7	0.36706935551939446	Top	MisAligned	7	75cueTarget
8	0.858531704658499	Top	MisAligned	8	75cueTarget
9	0.5025109359768037	Top	MisAligned	9	75cueTarget
10	0.9485242964693563	Top	MisAligned	10	75cueTarget
11	0.44101337460795714	Top	MisAligned	11	75cueTarget
12	0.738157082440791	Top	MisAligned	12	75cueTarget
13	0.9607866398550363	Top	MisAligned	13	75cueTarget
14	0.5858738838605032	Top	MisAligned	14	75cueTarget
15	0.42662833368470915	Top	MisAligned	15	75cueTarget
16	0.4518417523635188	Top	MisAligned	16	75cueTarget
17	1.0796481670178542	Top	MisAligned	17	75cueTarget
18	1.340790569390729	Top	MisAligned	18	75cueTarget
19	0.45779397832490665	Top	MisAligned	19	75cueTarget
20	0.48640320582410573	Top	MisAligned	20	75cueTarget
21	0.3534145282162353	Top	MisAligned	21	75cueTarget
22	0.8505777863319963	Top	MisAligned	22	75cueTarget
23	0.6976629972220663	Top	MisAligned	23	75cueTarget
24	0.4737436359700484	Top	MisAligned	24	75cueTarget
25	1.460427880869247	Top	MisAligned	25	75cueTarget
26	0.8059280916976814	Top	MisAligned	26	75cueTarget
27	0.5275846031279519	Top	MisAligned	27	75cueTarget
28	0.4092852332290601	Top	MisAligned	28	75cueTarget
29	0.514509859121253	Top	MisAligned	29	75cueTarget
30	0.785158504922019	Top	MisAligned	30	75cueTarget
31	0.5376455752293066	Top	MisAligned	31	75cueTarget
32	0.7435685281823503	Top	MisAligned	32	75cueTarget
1	0.6953090905036005	Bottom	Aligned	1	75cueTarget
2	0.8615214628039861	Bottom	Aligned	2	75cueTarget
3	0.7834128314897094	Bottom	Aligned	3	75cueTarget
4	0.8906759200947363	Bottom	Aligned	4	75cueTarget
5	0.4433463213314368	Bottom	Aligned	5	75cueTarget
6	0.4166027574136127	Bottom	Aligned	6	75cueTarget
7	0.5016932499520912	Bottom	Aligned	7	75cueTarget
8	1.1267688366769106	Bottom	Aligned	8	75cueTarget
9	0.37961418015480625	Bottom	Aligned	9	75cueTarget
10	0.7259899875100522	Bottom	Aligned	10	75cueTarget
11	0.5119337874633526	Bottom	Aligned	11	75cueTarget
12	0.7914740042018821	Bottom	Aligned	12	75cueTarget
13	0.6427514017439598	Bottom	Aligned	13	75cueTarget
14	0.38625053745844135	Bottom	Aligned	14	75cueTarget
15	0.7369304944167788	Bottom	Aligned	15	75cueTarget
16	0.918324645551489	Bottom	Aligned	16	75cueTarget
17	0.8056776710145641	Bottom	Aligned	17	75cueTarget
18	1.088905965627169	Bottom	Aligned	18	75cueTarget
19	0.6014881404941141	Bottom	Aligned	19	75cueTarget
20	0.48792603328838596	Bottom	Aligned	20	75cueTarget
21	0.21971118745859713	Bottom	Aligned	21	75cueTarget
22	0.6137914988212287	Bottom	Aligned	22	75cueTarget
23	1.0437111635811818	Bottom	Aligned	23	75cueTarget
24	0.5998553939536214	Bottom	Aligned	24	75cueTarget
25	0.678536465092163	Bottom	Aligned	25	75cueTarget
26	0.7616558806152969	Bottom	Aligned	26	75cueTarget
27	0.7935466958507378	Bottom	Aligned	27	75cueTarget
28	0.6225247182550707	Bottom	Aligned	28	75cueTarget
29	0.4525415328660466	Bottom	Aligned	29	75cueTarget
30	0.5785193992972685	Bottom	Aligned	30	75cueTarget
31	0.733887126938881	Bottom	Aligned	31	75cueTarget
32	0.809295690999451	Bottom	Aligned	32	75cueTarget
1	0.5444612804276403	Bottom	MisAligned	1	75cueTarget
2	0.8139165346241201	Bottom	MisAligned	2	75cueTarget
3	0.6772179146606921	Bottom	MisAligned	3	75cueTarget
4	0.7905139959886964	Bottom	MisAligned	4	75cueTarget
5	0.42801574888876026	Bottom	MisAligned	5	75cueTarget
6	0.37387682241233516	Bottom	MisAligned	6	75cueTarget
7	0.6716087967439305	Bottom	MisAligned	7	75cueTarget
8	0.9770433370177694	Bottom	MisAligned	8	75cueTarget
9	0.36188973703947674	Bottom	MisAligned	9	75cueTarget
10	0.7365966751215236	Bottom	MisAligned	10	75cueTarget
11	0.5200290738918257	Bottom	MisAligned	11	75cueTarget
12	1.0094263134815264	Bottom	MisAligned	12	75cueTarget
13	0.6533796807370064	Bottom	MisAligned	13	75cueTarget
14	0.3554551967583932	Bottom	MisAligned	14	75cueTarget
15	0.6397251259819313	Bottom	MisAligned	15	75cueTarget
16	0.8420870252948589	Bottom	MisAligned	16	75cueTarget
17	0.6621747365034852	Bottom	MisAligned	17	75cueTarget
18	1.0509041419305245	Bottom	MisAligned	18	75cueTarget
19	0.5762338816738914	Bottom	MisAligned	19	75cueTarget
20	0.47531532790006686	Bottom	MisAligned	20	75cueTarget
21	0.2373043734560463	Bottom	MisAligned	21	75cueTarget
22	0.5093904885324535	Bottom	MisAligned	22	75cueTarget
23	1.014065333165821	Bottom	MisAligned	23	75cueTarget
24	0.7095196552441588	Bottom	MisAligned	24	75cueTarget
25	0.5835307889634318	Bottom	MisAligned	25	75cueTarget
26	0.6410951906083417	Bottom	MisAligned	26	75cueTarget
27	0.64798431530362	Bottom	MisAligned	27	75cueTarget
28	0.5567964635358877	Bottom	MisAligned	28	75cueTarget
29	0.41081379690742187	Bottom	MisAligned	29	75cueTarget
30	0.4588945178458324	Bottom	MisAligned	30	75cueTarget
31	0.661596144316718	Bottom	MisAligned	31	75cueTarget
32	0.8509034597059237	Bottom	MisAligned	32	75cueTarget
